"""","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_件　　数","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_前年(同月･期)比","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_件　　数","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_前年(同月･期)比","倒　　　　　　産　　　　　　件　　　　　　数_全　　　国_件　　数","倒　　　　　　産　　　　　　件　　　　　　数_全　　　国_前年(同月･期)比"
"平成26年1月","8.0","0.0","228.0","2.7","864.0","-7.5"
"平成26年2月","8.0","-20.0","204.0","-8.9","782.0","-14.6"
"平成26年3月","6.0","-33.3","180.0","-22.7","814.0","-12.4"
"平成26年4月","11.0","120.0","235.0","0.0","914.0","1.7"
"平成26年5月","6.0","-25.0","201.0","-23.9","834.0","-20.2"
"平成26年6月","10.0","11.1","234.0","8.3","865.0","-3.6"
"平成26年7月","8.0","-27.3","218.0","-0.5","882.0","-14.0"
"平成26年8月","10.0","66.7","167.0","-16.1","727.0","-11.2"
"平成26年9月","6.0","-25.0","239.0","3.5","827.0","0.9"
"平成26年10月","9.0","12.5","212.0","-11.3","800.0","-16.6"
"平成26年11月","5.0","0.0","189.0","-11.7","736.0","-14.6"
"平成26年12月","8.0","14.3","183.0","-7.6","686.0","-8.5"
